artist,title,date,website,screenshots,archive available at,archive capture link,can access,base url
Victoria VesnaVictoria Vesna,Bodies INCorporated,1996,http://www.bodiesinc.ucla.edu/,rhizome_artbase/screenshots/21.png,20000901010918,http://web.archive.org/web/20000901010918/http://www.bodiesinc.ucla.edu/,Y,ucla.edu
julie Moreljulie Morel,Echo syst,1996,http://campus.ensba.fr/morel,Failed to capture screenshot,20010627062327,http://web.archive.org/web/20010627062327/http://campus.ensba.fr/morel,N,ensba.fr
Nino RodriguezNino Rodriguez,Face Value,1996,http://www.pobox.com/~nino/,rhizome_artbase/screenshots/23.png,20080516101402,http://web.archive.org/web/20080516101402/http://www.pobox.com/~nino/,Y,pobox.com
Olia LialinaOlia Lialina,My boyfriend came back from the war,1996,http://www.heise.de/tp/kunst/war/http://www.teleportacia.org/war/,rhizome_artbase/screenshots/24.png,0,,Y,heise.de
Dariusz Nowak-NovaDariusz Nowak-Nova,Live Tarot,1996,http://www.nova.priv.pl/livetarot,rhizome_artbase/screenshots/25.png,0,,Y,priv.pl
Kenji KojimaKenji Kojima,kenjikojima.com / Interactive Web Art,1996,http://www.kenjikojima.com/,rhizome_artbase/screenshots/26.png,19971221061632,http://web.archive.org/web/19971221061632/http://www.kenjikojima.com/,Y,kenjikojima.com
Janet CardiffJanet Cardiff,Louisiana Walk #14,1996,http://www.abbeymedia.com/Janweb/louis.html,rhizome_artbase/screenshots/27.png,19991104063213,http://web.archive.org/web/19991104063213/http://www.abbeymedia.com/Janweb/louis.html,Y,abbeymedia.com
Simon BiggsSimon Biggs,Great Wall of China,1996,http://www.greatwall.org.uk/,Failed to capture screenshot,20011030043040,http://web.archive.org/web/20011030043040/http://www.greatwall.org.uk/,N,greatwall.org.uk
Yael KanarekYael Kanarek,Love Letters from the World of Awe,1996,,,,,,
Eric DymondEric Dymond,the doorway,1996,http://web.idirect.com/~artseen/door.htm,Failed to capture screenshot,19981202105628,http://web.archive.org/web/19981202105628/http://web.idirect.com/~artseen/door.htm,N,idirect.com
Lisa HuttonLisa Hutton,cyber*babes,1996,http://www-crca.ucsd.edu/~Variety_Is/TCA1.html,Failed to capture screenshot,19990423225445,http://web.archive.org/web/19990423225445/http://www-crca.ucsd.edu/~Variety_Is/TCA1.html,N,ucsd.edu
philip woodphilip wood,sign69,1996,http://www.medialounge.org/,rhizome_artbase/screenshots/32.png,20000118110043,http://web.archive.org/web/20000118110043/http://www.medialounge.org/,Y,medialounge.org
Terry ToweryTerry Towery,Online Art Critic,1997,http://archive.rhizome.org/artbase/2188/onlinecrit/onlinecrit.html,rhizome_artbase/screenshots/33.png,20150224011441,http://web.archive.org/web/20150224011441/http://archive.rhizome.org/artbase/2188/onlinecrit/onlinecrit.html,Y,rhizome.org
Claude CloskyClaude Closky,Do You Want Love or Lust?,1997,http://www.diacenter.org/closky/index.htmlhttp://www.diacenter.org/closky/index.html,rhizome_artbase/screenshots/34.png,0,,Y,diacenter.org
A .A .,Absurd Org.,1997,http://www.absurd.org/,Failed to capture screenshot,19970706141820,http://web.archive.org/web/19970706141820/http://www.absurd.org/,N,absurd.org
Susan CollinsSusan Collins,In Conversation,1997,http://www.inconversation.com/,Failed to capture screenshot,20000411231627,http://web.archive.org/web/20000411231627/http://www.inconversation.com/,N,inconversation.com
Olia LialinaOlia Lialina,Agatha Appears,1997,http://www.c3.hu/collection/agatha/,rhizome_artbase/screenshots/37.png,19980204130314,http://web.archive.org/web/19980204130314/http://www.c3.hu/collection/agatha/,Y,c3.hu
Thomson & CraigheadThomson & Craighead,Attributed Text,1997,http://www.attributed-text.net/,Failed to capture screenshot,20021016092112,http://web.archive.org/web/20021016092112/http://www.attributed-text.net/,N,attributed-text.net
Alexei ShulginAlexei Shulgin,Introduction to net.art,1997,http://easylife.org/netart/,Failed to capture screenshot,20000818221424,http://web.archive.org/web/20000818221424/http://easylife.org/netart/,N,easylife.org
Johannes AuerJohannes Auer,Kill the Poem,1997,http://www.s.netic.de/auer/kill/killpoem.htm,rhizome_artbase/screenshots/40.png,20010215091312,http://web.archive.org/web/20010215091312/http://www.s.netic.de/auer/kill/killpoem.htm,Y,netic.de
Alexei ShulginAlexei Shulgin,Form Art,1997,http://www.c3.hu/collection/form/,rhizome_artbase/screenshots/41.png,19980204131608,http://web.archive.org/web/19980204131608/http://www.c3.hu/collection/form/,Y,c3.hu
Vuk ĆosićVuk Ćosić,Documenta Done,1997,,,,,,
John F. SimonJohn F. Simon,Every Icon,1997,,,,,,
Annette WeintraubAnnette Weintraub,Pedestrian: Walking as Meditation and the Lure of Everyday Objects,1997,http://www.turbulence.org/Works/pedestrian/intro.html,rhizome_artbase/screenshots/44.png,19980512013221,http://web.archive.org/web/19980512013221/http://www.turbulence.org/Works/pedestrian/intro.html,Y,turbulence.org
